회사명_x,거래소코드,회계년도,자산(*)(천원),자본(*)(천원),영업이익(천원),당기순이익(천원),이자비용(천원),자본금(*)(천원),이자보상배율,영업이익증가율_x,총자본증가율_x,자기자본증가율_x,순이익증가율_x,자본잠식률,회사명_y,산업코드,산업명,업종코드,소속코드,설립일,상장일,상장폐지일,기업규모코드,기업규모명,감사의견코드,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),총자본증가율_y,유형자산증가율,유동자산증가율,영업이익증가율_y,순이익증가율_y,재고자산증가율,자기자본증가율_y,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,총자본순이익률,자기자본영업이익률,자기자본순이익률,자본금영업이익률,자본금순이익률,조세 대 조세차감전순이익률,기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),CPS(Cash flow Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,매출채권 대 상,제품비율,매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,상품,제품회전률,원,부재료회전률,재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,감사의견
(주)가이아코퍼레이션,296520,2017-12-01,18922965.0,6726989.0,1228469.0,1228469.0,101793.0,1243750.0,12.06830528621811,,,,,-440.8634371859296,(주)가이아코퍼레이션,74604,  도매 및 상품 중개업,1,8,2010/08/22,2023/06/20,,,,UQ,46,도매 및 소매업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)가이아코퍼레이션,296520,2018-12-01,19003949.0,4085779.0,-2641210.0,-2641210.0,112708.0,1243750.0,-23.43409518401533,-315.0001343135236,0.4279667589090818,-39.26288566846178,-3.150001343135236,-228.50484422110551,(주)가이아코퍼레이션,74604,  도매 및 상품 중개업,1,8,2010/08/22,2023/06/20,,20.0,중소기업,UQ,46,도매 및 소매업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.74,-5.5,-8.1,-9.4,-9.43,-13.9,-43.88,-64.64,-144.15,-212.36,0.0,-13.33,-9.53,-14.04,80.26,105.5,-2.41,0.33,-0.31,2.78,107.87,9.51,0.0,0.3,0.52,16.31,42.18,0.72,1.21,1.21,0.0,38.81,69.56,0.0,0.0,0.0,131062.54,-10618.0,-1021.37,228.5,0.0,-7207.43,92.94,60.33,1316.21,36.87,7.06,21.5,78.5,328.5,32.84,32.67,118.56,47.03,0.07,53.62,385.36,150.42,56.52,35.65,365.12,364.6,0.0,0.52,0.77,14.55,48.86,227.25,-15.91,2.29,54.18,4.12,57.69,-1.7,-2.74,-1.34,-0.78,-16.75,1.72,1.73,7.98,26.21,2.19,8.58,42.52,1.85,4.65,3.06,119.3,3.22,0.0,0.0,5.71,63.97,24.3,34.64,1.0,5.48,0.01,1785.52,0.0,0.0,9.4,189.69,302.74,5.48,188.32,-88.32,-147.92,,,,
(주)가이아코퍼레이션,296520,2019-12-01,16971385.0,-3069187.0,-7154966.0,-7154966.0,180405.0,1243750.0,-39.66057481777113,170.8972781414579,-10.6954822916016,-175.11877172015423,-1.708972781414579,346.7688040201005,(주)가이아코퍼레이션,74604,  도매 및 상품 중개업,1,8,2010/08/22,2023/06/20,,20.0,중소기업,UQ,46,도매 및 소매업,-10.7,0.0,-10.82,0.0,0.0,-20.35,0.0,32.41,0.0,0.0,-9.0,0.0,0.0,19.29,-10.47,-16.57,-25.12,-25.14,-39.78,0.0,0.0,-363.53,-575.27,0.0,-38.79,-25.49,-40.35,80.71,110.47,-6.1,0.41,-0.03,1.84,116.48,7.84,0.0,0.35,1.74,87.85,228.75,1.01,1.78,1.86,0.0,0.0,0.0,0.0,0.0,0.0,173542.75,0.0,-2362.54,0.0,0.0,-18176.29,92.8,53.88,1289.81,42.8,7.2,0.0,118.08,0.0,0.0,0.0,84.57,39.0,7.68,51.26,0.0,173.72,53.53,29.51,0.0,0.0,98.16,0.0,0.0,-16.94,59.76,0.0,-25.06,0.0,38.7,2.97,38.59,-2.1,-4.15,-2.48,-0.97,-25.48,2.4,2.43,0.0,34.71,2.47,13.7,26.64,2.58,6.05,4.51,80.93,4.73,2110.84,0.0,8.58,42.55,33.69,91.72,1.29,0.0,0.01,-1596.79,0.0,0.0,-9.41,0.0,0.0,-3.7,0.0,0.0,0.0,,,,
(주)가이아코퍼레이션,296520,2020-12-01,16668429.0,-2946351.0,122836.0,122836.0,212622.0,1243750.0,0.5777200854097883,-101.71679362277892,-1.785098859050105,-4.002232513040093,1.0171679362277892,336.8925427135678,(주)가이아코퍼레이션,74604,  도매 및 상품 중개업,1,8,2010/08/22,2023/06/20,,30.0,중견기업,UQ,46,도매 및 소매업,-1.79,0.0,-0.47,0.0,0.0,1.64,0.0,-23.96,0.0,0.0,-18.8,0.0,0.0,32.16,2.1,0.37,4.12,4.1,0.73,0.0,0.0,55.38,9.88,0.0,1.97,4.18,0.74,67.84,97.9,-1.72,0.63,-0.16,0.49,99.63,10.58,0.0,0.63,1.79,68.72,242.45,1.05,3.72,2.68,0.0,0.0,0.0,0.0,0.0,0.0,131955.15,0.0,10485.25,0.0,0.0,2768.97,94.05,55.02,1581.12,42.3,5.95,0.0,117.68,0.0,0.0,0.0,80.01,35.99,3.66,54.01,0.0,137.49,54.95,39.28,0.0,0.0,0.0,0.0,0.0,-23.49,34.26,0.0,3.24,0.0,47.87,3.37,49.76,5.15,17.69,6.06,3.08,3.31,1.95,1.99,0.0,26.39,1.66,11.14,32.76,2.09,4.59,3.84,95.15,3.95,678.99,0.0,7.29,50.09,29.67,268.4,0.94,0.0,0.01,4648.17,0.0,0.0,27.89,1900.4,3579.34,14.16,74.85,25.15,2.64,,,,
(주)가이아코퍼레이션,296520,2021-12-01,12712709.0,-1471056.0,1856531.0,1856531.0,274121.0,1243750.0,6.772669733438883,1411.3899833924909,-23.731810598347337,-50.0719364393448,14.113899833924908,218.27585929648242,(주)가이아코퍼레이션,74604,  도매 및 상품 중개업,1,8,2010/08/22,2023/06/20,,20.0,중소기업,UQ,46,도매 및 소매업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.39,2.54,5.8,6.43,6.38,14.6,0.0,0.0,65.26,149.27,0.0,16.72,6.44,14.73,58.61,97.46,3.26,0.84,0.28,0.16,94.58,10.32,0.0,0.83,2.77,61.03,156.49,1.89,4.61,4.61,0.0,0.0,0.0,0.0,0.0,0.0,128688.57,0.0,9875.45,-218.28,0.0,3263.12,88.44,56.14,764.74,38.79,11.56,0.0,111.57,-118.28,0.0,0.0,79.53,34.88,3.66,52.98,0.0,182.61,58.95,29.01,0.0,0.0,99.38,0.0,0.0,-22.77,46.76,0.0,2.96,0.0,35.12,4.59,39.38,17.32,41.32,19.32,7.67,3.02,2.52,2.54,0.0,25.74,2.26,17.48,20.88,2.85,6.49,5.07,71.96,5.64,1647.01,0.0,9.57,38.12,21.77,55.81,1.26,0.0,0.01,6598.75,0.0,0.0,51.91,1150.52,1630.6,20.61,50.7,49.3,28.13,,,,
(주)가이아코퍼레이션,296520,2022-12-01,15455148.0,6657022.0,688744.0,688744.0,186016.0,2100945.0,3.702606227421297,-62.90156210696185,21.57242016630758,-552.5335541271032,-0.6290156210696185,-216.85846131145746,(주)가이아코퍼레이션,74604,  도매 및 상품 중개업,1,8,2010/08/22,2023/06/20,,20.0,중소기업,UQ,46,도매 및 소매업,21.57,14.25,20.39,122.22,-62.9,22.32,0.0,17.92,0.0,0.0,30.63,0.0,0.0,44.6,4.78,1.82,12.84,12.81,4.89,0.0,26.56,107.86,41.18,0.0,6.18,12.92,4.93,55.4,95.22,-2.95,0.48,-0.32,0.19,98.19,9.73,0.0,0.48,2.17,55.24,175.01,1.58,6.63,4.25,0.0,-34.77,67.96,0.0,0.0,0.0,151750.41,207.0,4793.48,216.86,0.0,7251.37,87.57,57.04,704.76,37.62,12.43,43.07,56.93,316.86,28.85,28.85,153.84,66.09,0.85,49.67,162.99,178.5,54.99,27.83,132.16,132.16,0.0,0.0,0.0,30.65,18.16,42.17,9.7,2.17,32.82,4.49,40.59,20.74,64.99,11.8,4.83,9.96,2.68,2.7,0.0,22.57,3.29,18.97,19.24,3.05,7.03,5.38,67.84,5.97,1823.35,0.0,10.52,34.7,22.27,61.44,1.58,0.0,0.01,5583.32,0.0,0.0,36.13,852.05,1181.47,14.79,65.24,34.76,12.34,,,,
(주)골프존데카,183410,2013-12-01,16345448.0,11094788.0,677075.0,696800.0,151535.0,2260830.0,4.46810967763223,-1.6942434344255686,5.760540112589019,66.66293126265768,0.0116966536187611,-390.7395956352313,(주)골프존데카,32702,"  의료, 정밀, 광학기기 및 시계 제조업",1,8,2003/12/10,2013/11/12,,20.0,중소기업,UQ,27,제조업,7.44,-30.34,9.19,-46.44,0.0,49.42,12.23,-14.91,0.0,0.0,2.46,0.0,0.0,23.4,8.79,8.99,8.49,8.31,8.5,11.49,11.74,59.35,60.67,-4.76,9.25,10.12,10.34,76.6,91.21,-0.22,0.8,-0.61,0.26,91.73,5.51,0.0,0.84,0.86,36.43,506.44,2.73,5.1,5.11,0.0,-2.29,75.45,0.0,0.0,0.0,3374.92,186.0,-76.19,446.49,0.0,296.75,75.29,30.46,304.69,52.35,24.71,73.88,26.12,546.49,33.45,30.08,421.76,293.28,39.08,172.02,39.93,1446.66,567.24,11.89,35.36,24.16,74.79,11.19,14.4,57.44,17.78,24.07,8.85,4.46,79.04,26.75,90.29,32.16,47.23,8.4,9.21,11.0,0.95,1.15,1.31,6.75,3.42,26.25,13.9,1.27,1.72,4.77,76.57,22.64,15.65,9.86,2.37,153.94,3.74,83.92,1.0,0.0,0.0,2472.91,103.04,635.84,14.79,1656.2,5077.85,16.2,32.37,67.63,55.47,,,,
(주)골프존데카,183410,2014-12-01,15954928.0,9656580.0,-1329459.0,-1754957.0,210426.0,2298270.0,-6.317940748766787,-296.35328434811504,-2.3891666964405034,-12.962915559990872,-3.518595005740528,-320.16734326254095,(주)골프존데카,32702,"  의료, 정밀, 광학기기 및 시계 제조업",1,8,2003/12/10,2013/11/12,,20.0,중소기업,UQ,27,제조업,5.79,-41.1,16.27,-69.75,0.0,-0.14,-3.41,5.3,-80.89,8.33,-26.13,-2.8,-12.02,13.6,2.53,-4.54,2.53,2.36,-4.24,3.34,-6.01,17.81,-32.0,0.0,-3.24,2.76,-4.96,86.4,97.47,-6.3,1.07,2.34,0.0,103.62,4.4,0.09,0.99,0.51,39.03,844.54,3.39,5.27,5.93,0.0,-8.48,76.75,0.0,0.0,0.0,3509.03,-381.0,-286.16,419.27,0.0,88.64,82.75,26.16,479.58,61.1,17.25,67.45,32.55,519.27,25.58,21.83,394.48,291.27,13.41,228.94,35.05,900.0,674.52,25.44,48.25,31.1,65.13,17.15,18.73,61.77,21.61,32.04,2.01,4.19,84.73,22.36,97.35,-14.37,-21.64,-4.68,-5.15,2.36,0.93,1.09,1.32,7.05,3.17,22.47,16.24,1.18,1.64,4.19,87.06,13.05,15.92,10.09,2.09,174.52,4.47,135.46,0.95,0.0,0.0,512.04,19.69,618.06,2.89,582.2,2629.23,3.19,148.99,-48.99,-142.44,,,,
(주)골프존데카,183410,2015-12-01,14833732.0,8461258.0,-747549.0,-1324291.0,250097.0,2298270.0,-2.989036253933474,-43.77043594424499,-7.027270821905307,-12.378316132626663,0.2453997448370529,-268.157701227445,(주)골프존데카,32702,"  의료, 정밀, 광학기기 및 시계 제조업",1,8,2003/12/10,2013/11/12,,20.0,중소기업,UQ,27,제조업,-0.44,-46.55,-1.44,0.0,0.0,-9.04,0.76,-10.34,157.15,-15.38,4.39,5.97,18.59,13.69,-1.95,-0.54,-1.4,-1.59,-0.44,-2.35,-0.64,-12.24,-3.36,1244.73,0.74,-1.82,-0.5,86.31,101.95,1.99,1.44,4.25,0.01,99.96,5.05,0.01,1.37,0.39,41.63,1467.53,3.67,5.43,5.85,0.0,-9.06,75.53,0.0,0.0,0.0,3134.68,-199.0,-138.69,423.23,0.0,-61.2,81.91,24.15,452.8,62.13,18.09,68.26,31.74,523.23,26.5,22.59,410.82,311.63,9.88,263.79,31.91,3578.63,722.69,7.37,46.49,29.21,65.31,17.28,19.04,61.97,25.41,37.22,-1.16,4.23,100.87,21.65,106.17,-17.42,-21.76,-5.53,-6.76,-1.35,0.82,0.93,1.2,6.27,2.54,23.41,15.59,0.99,1.32,3.94,92.64,11.21,14.73,10.34,1.6,227.48,4.62,213.52,0.79,0.0,0.0,1114.16,50.64,654.94,6.32,2369.94,7282.55,7.73,68.71,31.29,-6.93,,,,
(주)골프존데카,183410,2016-12-01,11018720.0,5583690.0,-2512638.0,-2891116.0,206524.0,2322212.0,-12.16632449497395,236.11682979978573,-25.71849080191013,-34.00874905362772,-1.1831425268313385,-140.4470392884026,(주)골프존데카,32702,"  의료, 정밀, 광학기기 및 시계 제조업",1,8,2003/12/10,2013/11/12,,20.0,중소기업,UQ,27,제조업,-42.96,-42.84,-37.52,0.0,0.0,1.51,-53.05,-25.97,-697.93,-22.73,-67.57,-4.2,11.56,11.28,-12.36,-59.87,-9.4,-9.53,-46.17,-14.92,-72.28,-57.08,-276.42,0.0,-44.82,-10.68,-51.74,88.72,112.36,-44.52,1.75,2.82,0.3,154.13,3.82,0.01,1.08,0.16,35.11,2867.96,3.74,5.88,5.15,0.0,-132.39,47.33,0.0,0.0,0.0,2320.49,-1934.0,2.8,143.13,0.0,-286.9,89.72,39.23,872.39,54.52,10.28,56.19,43.81,243.13,18.3,16.77,231.91,140.94,7.86,114.06,68.97,1263.21,267.71,9.03,77.98,68.85,96.57,9.13,10.05,51.03,34.66,61.68,-6.44,1.43,109.9,19.78,88.01,-7.09,-8.97,-3.11,-2.93,-7.06,0.77,0.86,1.21,4.62,2.13,37.03,9.86,0.91,1.3,3.04,120.12,7.68,11.89,8.72,1.61,226.27,5.06,288.73,0.69,0.0,0.0,-5147.84,-302.81,627.43,-51.23,-19157.62,-61969.95,-48.26,0.0,0.0,0.0,,,,
(주)골프존데카,183410,2017-12-01,7836749.0,1819519.0,-2938613.0,-3618923.0,168420.0,2328198.0,-17.448123738273363,16.953297689519943,-28.87786421653332,-67.41368163347177,-0.2517391208100955,21.84861425016257,(주)골프존데카,32702,"  의료, 정밀, 광학기기 및 시계 제조업",1,8,2003/12/10,2013/11/12,,20.0,중소기업,UQ,27,제조업,-29.56,-38.6,-36.2,0.0,0.0,-56.37,-73.79,-8.8,0.0,-5.88,28.33,-3.1,-14.97,8.32,-35.81,-41.46,-40.64,-40.68,-47.09,-97.76,-113.19,-149.81,-173.45,0.0,-45.16,-45.73,-52.94,91.68,135.81,-1.57,1.7,-4.42,0.0,134.83,3.75,0.0,1.17,0.09,30.91,5392.99,3.3,6.42,5.52,0.0,-777.57,-92.32,0.0,0.0,0.0,2094.5,-1035.0,-306.19,-36.43,9.45,-750.01,81.26,26.82,433.75,59.47,18.74,20.91,79.09,63.57,89.61,52.62,126.19,92.34,1.82,194.05,129.23,968.17,386.92,20.04,378.28,307.99,69.49,70.28,87.12,16.87,37.05,177.18,-20.68,-0.36,75.91,12.13,60.11,-12.59,-26.87,-9.95,-7.24,-21.08,1.14,1.28,2.73,4.18,1.95,30.95,11.79,1.32,2.01,3.83,95.3,8.53,16.29,12.12,2.77,131.85,8.25,448.59,0.84,0.0,0.0,-2894.6,-180.91,607.98,-40.89,-17544.07,-65355.52,-29.76,0.0,0.0,0.0,,,,
(주)골프존데카,183410,2018-12-01,9157718.0,1007010.0,-1940033.0,-1940033.0,995376.0,2055581.0,-1.9490453858642365,-33.981337454098245,16.85608407261736,-44.6551533674559,0.4639197905012071,51.01093072956016,(주)골프존데카,32702,"  의료, 정밀, 광학기기 및 시계 제조업",1,8,2003/12/10,2013/11/12,,30.0,중견기업,UQ,27,제조업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.22,-10.61,-12.6,-17.59,-17.83,-21.18,-162.14,-192.65,-79.43,-94.38,0.0,-10.55,-17.83,-21.18,70.78,110.61,-1.94,6.32,0.21,1.34,111.85,7.12,0.0,5.34,0.24,6.97,345.92,11.94,44.76,44.76,0.0,-769.42,-133.51,0.0,0.0,0.0,3744.36,-215.0,-336.46,-51.01,0.0,-397.16,93.42,17.99,1420.3,76.62,6.58,11.0,89.0,48.99,59.82,13.81,178.39,146.31,2.02,297.01,40.93,1134.05,421.21,26.19,809.4,476.24,0.0,333.16,89.24,41.05,24.29,220.85,-1.64,-0.51,55.58,3.91,59.49,-16.97,-62.2,-15.1,-8.99,-1.68,1.68,1.68,15.29,7.49,1.89,38.2,9.56,1.8,2.19,10.0,36.49,14.19,110.14,49.03,3.37,108.37,25.56,43.3,1.15,0.0,0.01,340.17,69.67,494.95,3.71,95.68,14420.2,2.21,381.63,-281.63,-570.31,,,,
(주)골프존데카,183410,2019-12-01,8156697.0,-5680203.0,-6449858.0,-6449858.0,272578.0,2055581.0,-23.66243057033216,232.46125194777613,-10.930900034266177,-664.0661959662764,-2.3246125194777614,376.3307794730541,(주)골프존데카,32702,"  의료, 정밀, 광학기기 및 시계 제조업",1,8,2003/12/10,2013/11/12,,20.0,중소기업,UQ,27,제조업,-10.93,2.83,-20.83,0.0,0.0,74.99,-664.07,-8.01,-299.89,3.85,129.63,6.58,28.04,19.28,-41.54,-45.55,-67.56,-67.94,-74.5,0.0,0.0,-286.13,-313.77,0.0,-71.73,-68.38,-74.99,80.72,141.54,-4.01,1.7,0.57,4.99,144.03,6.79,0.0,1.14,1.42,32.43,140.81,2.18,4.54,6.63,0.0,0.0,0.0,0.0,0.0,0.0,3444.26,-1569.0,-629.06,-376.33,0.0,-1430.65,83.04,39.75,489.69,50.03,16.96,-69.64,169.64,-276.33,0.0,0.0,60.57,36.49,1.64,114.27,0.0,193.37,138.27,59.1,0.0,0.0,97.74,0.0,0.0,-54.06,73.61,0.0,-21.58,-3.76,54.13,7.01,56.82,-14.34,-33.05,-24.33,-14.02,-24.5,1.64,1.65,0.0,6.89,1.29,14.2,25.7,1.85,2.55,6.69,54.54,8.56,64.46,58.78,3.7,98.56,14.26,39.27,0.9,0.0,0.01,-4476.98,-139.26,527.52,-54.89,-1611.31,-6275.64,-31.62,0.0,0.0,0.0,,,,
(주)골프존데카,183410,2020-12-01,6631800.0,-4466042.0,1220661.0,1220661.0,380927.0,2055581.0,3.2044486213894,-118.92539339625772,-18.69503059878281,-21.375310002124927,1.1892539339625772,317.26421872940057,(주)골프존데카,32702,"  의료, 정밀, 광학기기 및 시계 제조업",1,8,2003/12/10,2013/11/12,,20.0,중소기업,UQ,27,제조업,-18.7,-30.64,-18.47,0.0,0.0,-61.61,0.0,23.28,0.0,-11.11,-19.77,35.58,94.62,26.59,-4.96,6.99,-11.58,-11.71,16.51,0.0,0.0,-42.13,59.38,0.0,21.53,-11.82,16.67,73.41,104.96,11.95,2.13,-0.87,2.85,93.96,11.51,0.0,1.95,2.22,33.59,117.04,2.98,4.94,5.56,0.0,0.0,0.0,0.0,0.0,0.0,4246.12,297.0,121.8,-317.26,0.0,-210.64,83.27,18.72,497.61,67.68,16.73,0.0,167.34,-217.26,0.0,0.0,55.53,45.14,22.67,145.67,0.0,419.77,163.46,34.7,0.0,0.0,99.45,0.0,0.0,-66.68,116.25,0.0,-2.27,0.0,35.22,7.14,37.82,-9.4,-13.53,-15.72,-5.97,-2.33,2.36,2.38,0.0,8.49,1.4,17.9,20.39,2.84,4.07,9.37,38.96,11.1,84.72,208.0,7.62,47.91,14.0,56.39,1.04,0.0,0.02,4199.18,189.68,715.24,63.32,1872.84,7872.78,24.06,52.04,47.96,29.07,,,,
(주)골프존데카,183410,2021-12-01,8692588.0,-1955549.0,2584606.0,2584606.0,361651.0,2055581.0,7.146685616796304,111.73823035224358,31.07433879188155,-56.21292858419156,1.1173823035224355,195.1336386160409,(주)골프존데카,32702,"  의료, 정밀, 광학기기 및 시계 제조업",1,8,2003/12/10,2013/11/12,,30.0,중견기업,UQ,27,제조업,31.07,58.38,34.01,0.0,111.74,25.49,0.0,62.04,31.14,8.33,16.45,45.82,28.81,30.8,10.25,9.14,38.01,37.82,33.73,0.0,0.0,140.99,125.74,5.31,38.26,38.19,34.06,69.2,89.75,-0.6,1.23,0.53,1.05,90.43,11.71,0.0,1.35,1.63,31.88,119.22,3.19,4.73,4.71,0.0,0.0,0.0,0.0,0.0,0.0,6880.38,629.0,249.13,-195.13,0.0,704.96,85.13,17.53,572.67,70.21,14.87,0.0,122.5,-95.13,0.0,0.0,70.92,58.48,21.15,170.72,0.0,1120.56,220.8,15.23,0.0,0.0,99.3,0.0,0.0,-34.91,88.04,0.0,8.01,0.0,22.84,4.25,30.31,7.16,9.96,8.77,2.7,8.35,3.69,3.73,0.0,13.76,2.6,101.68,3.59,4.38,5.34,24.27,15.04,29.4,139.07,0.0,15.2,24.01,23.55,86.34,1.7,0.0,0.03,6518.55,248.76,1042.94,74.99,2301.03,16499.73,23.04,46.34,53.66,39.65,,,,
(주)골프존데카,183410,2022-12-01,9114442.0,-844381.0,1146220.0,1146220.0,343968.0,2055581.0,3.3323448692901665,-55.65204135562636,4.853031111102935,-56.82128138952284,-0.5565204135562635,141.07748612192853,(주)골프존데카,32702,"  의료, 정밀, 광학기기 및 시계 제조업",1,8,2003/12/10,2013/11/12,,30.0,중견기업,UQ,27,제조업,4.85,60.53,0.91,-56.78,-55.65,163.96,0.0,3.0,-38.55,34.62,27.45,-22.13,-21.96,28.17,4.3,3.93,14.33,14.07,12.87,0.0,0.0,60.94,55.76,3.56,16.48,14.24,13.03,71.83,95.7,-0.22,1.1,1.0,2.58,95.98,11.22,0.0,1.13,1.81,32.41,99.91,3.12,5.09,4.78,0.0,-1433.67,0.0,0.0,0.0,0.0,7086.87,279.0,-169.29,-141.08,0.0,304.72,81.93,45.86,453.4,44.36,18.07,0.0,109.26,-41.08,0.0,0.0,76.02,41.16,5.36,67.8,0.0,178.95,77.39,37.89,0.0,0.0,0.0,0.0,0.0,-25.84,74.1,0.0,3.64,0.0,25.52,5.04,30.94,1.65,2.43,1.8,0.56,3.9,3.27,3.31,0.0,14.17,2.83,38.98,9.36,3.92,5.74,12.34,29.58,14.56,81.06,0.0,12.84,28.42,19.82,55.69,1.66,0.0,0.02,5204.05,152.87,812.18,57.1,952.77,14103.11,17.86,61.15,38.85,22.03,,,,
(주)굿센,243870,2013-12-01,19484954.0,17398688.0,1404957.0,1607547.0,16798.0,558820.0,83.63834980354804,22.573066252551865,113.781095979326,-2160.525757922076,0.4024768369074,-3013.469095594288,(주)굿센,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",1,8,2004/09/30,2016/10/31,,20.0,중소기업,UQ,62,정보통신업,10.46,-2.19,6.33,5.66,-1.25,0.0,9.96,6.94,0.0,0.0,17.66,0.0,0.0,28.4,11.0,12.58,9.4,7.57,8.66,8.46,9.68,251.41,287.67,16.86,6.92,10.22,11.7,71.6,89.0,3.68,-2.53,0.0,0.03,85.91,14.86,0.51,-2.82,0.59,6.51,47.2,-16.55,3.23,3.36,0.0,81.61,96.15,10.0,0.32,3.48,11431.65,1438.0,1379.25,3013.47,0.0,1257.07,61.14,0.0,157.36,61.14,38.86,89.29,10.71,3113.47,43.52,42.63,690.88,690.88,172.38,0.0,0.0,190.92,0.0,0.0,11.99,9.91,33.99,2.08,3.55,52.29,2.67,2.99,83.64,30.13,90.47,54.81,110.18,77.53,311.05,8.3,12.66,0.0,0.69,0.93,0.77,22.86,6.55,17.28,21.12,1.11,1.11,0.0,0.0,0.0,0.0,0.0,9.23,39.54,1.82,7.13,0.97,0.0,0.05,3429.33,0.0,0.0,17.6,193.64,0.0,26.84,49.53,50.47,46.88,,,,
(주)굿센,243870,2014-12-01,19114325.0,17675501.0,-186803.0,334718.0,14098.0,558820.0,-13.250319194211944,-113.29599411227532,-1.90212920184466,1.5909992753476487,-0.7917833817611554,-3063.004366343366,(주)굿센,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",1,8,2004/09/30,2016/10/31,,20.0,중소기업,UQ,62,정보통신업,-1.9,-1.11,-1.24,0.0,-79.18,0.0,1.59,-33.25,0.0,0.0,-2.94,0.0,0.0,22.6,-2.19,3.92,0.47,-0.97,1.73,-1.07,1.91,-33.43,59.9,15.53,0.37,-1.34,2.39,77.4,102.19,6.17,-3.09,0.01,0.05,96.27,18.6,0.65,-3.01,0.82,7.1,54.46,-14.93,4.11,3.27,0.0,80.24,96.22,0.0,0.0,0.0,7631.09,299.0,-242.7,3063.0,0.0,-167.14,61.56,0.0,160.12,61.56,38.44,92.47,7.53,3163.0,41.57,41.3,889.88,889.88,162.95,0.0,0.0,255.33,0.0,0.0,8.14,7.48,66.03,0.66,1.12,54.64,1.8,1.94,-13.25,30.63,138.82,87.47,162.79,44.14,185.03,3.32,7.45,0.0,0.44,0.61,0.49,15.26,4.84,12.46,29.29,0.72,0.72,0.0,0.0,0.0,0.0,0.0,5.72,63.85,1.14,4.84,0.64,0.0,0.03,1880.21,0.0,0.0,9.84,107.36,0.0,22.05,86.47,13.53,17.8,,,,
